timestamp,location,temperature,humidity,wind_speed,precipitation,power_outage
2022-05-20 00:00:00,Mangalore,24.48,80.35,0.36,0.0,0
2022-05-20 01:00:00,Mangalore,25.9,83.97,0.66,0.14,0
2022-05-20 02:00:00,Mangalore,27.98,87.93,1.59,0.19,0
2022-05-20 03:00:00,Mangalore,28.6,92.0,2.37,0.29,1
2022-05-20 04:00:00,Mangalore,29.61,93.89,3.13,0.35,1
2022-05-20 05:00:00,Mangalore,28.87,96.53,2.73,0.37,1
2022-05-20 06:00:00,Mangalore,29.9,96.44,3.37,0.4,1
2022-05-20 07:00:00,Mangalore,30.81,95.65,3.08,0.36,1
2022-05-20 08:00:00,Mangalore,29.38,94.43,2.58,0.34,1
2022-05-20 09:00:00,Mangalore,28.98,92.73,2.65,0.26,1
2022-05-20 10:00:00,Mangalore,27.38,88.54,1.76,0.24,0
2022-05-20 11:00:00,Mangalore,27.47,83.26,0.89,0.06,0
2022-05-20 12:00:00,Mangalore,25.27,79.37,0.14,0.02,0
2022-05-20 13:00:00,Mangalore,24.54,75.38,1.22,0.11,0
2022-05-20 14:00:00,Mangalore,22.12,72.12,1.78,0.2,0
2022-05-20 15:00:00,Mangalore,20.91,67.59,2.33,0.3,0
2022-05-20 16:00:00,Mangalore,21.7,65.89,2.66,0.37,0
2022-05-20 17:00:00,Mangalore,20.77,63.5,3.47,0.4,0
2022-05-20 18:00:00,Mangalore,20.28,63.67,3.37,0.43,0
2022-05-20 19:00:00,Mangalore,19.93,63.79,3.33,0.35,0
2022-05-20 20:00:00,Mangalore,20.82,64.73,3.14,0.33,0
2022-05-20 21:00:00,Mangalore,22.01,67.89,2.45,0.28,0
2022-05-20 22:00:00,Mangalore,23.4,71.52,1.78,0.16,0
2022-05-20 23:00:00,Mangalore,23.84,75.16,0.91,0.14,0
2022-05-21 00:00:00,Mangalore,24.98,80.78,0.04,0.01,0
2022-05-21 01:00:00,Mangalore,26.7,83.85,1.15,0.1,0
2022-05-21 02:00:00,Mangalore,26.87,88.28,1.7,0.19,0
2022-05-21 03:00:00,Mangalore,28.69,92.37,2.2,0.27,1
2022-05-21 04:00:00,Mangalore,28.91,94.92,3.27,0.38,1
2022-05-21 05:00:00,Mangalore,29.87,96.32,3.28,0.4,1
2022-05-21 06:00:00,Mangalore,30.16,97.03,3.51,0.41,1
2022-05-21 07:00:00,Mangalore,30.18,96.91,3.08,0.38,1
2022-05-21 08:00:00,Mangalore,29.83,94.32,3.01,0.37,1
2022-05-21 09:00:00,Mangalore,28.74,92.36,2.42,0.29,1
2022-05-21 10:00:00,Mangalore,27.43,87.18,2.3,0.17,0
2022-05-21 11:00:00,Mangalore,27.24,85.25,0.99,0.13,0
2022-05-21 12:00:00,Mangalore,25.29,79.28,0.21,0.02,0
2022-05-21 13:00:00,Mangalore,24.04,75.84,0.7,0.1,0
2022-05-21 14:00:00,Mangalore,22.39,71.31,1.84,0.2,0
2022-05-21 15:00:00,Mangalore,21.75,67.81,2.48,0.32,0
2022-05-21 16:00:00,Mangalore,20.22,65.92,2.62,0.35,0
2022-05-21 17:00:00,Mangalore,19.93,63.94,3.2,0.39,0
2022-05-21 18:00:00,Mangalore,19.99,61.9,3.42,0.39,0
2022-05-21 19:00:00,Mangalore,21.11,62.86,3.22,0.41,0
2022-05-21 20:00:00,Mangalore,20.64,65.45,2.59,0.37,0
2022-05-21 21:00:00,Mangalore,21.88,67.85,2.7,0.3,0
2022-05-21 22:00:00,Mangalore,22.53,71.11,1.38,0.2,0
2022-05-21 23:00:00,Mangalore,23.73,74.87,0.73,0.13,0
2022-05-22 00:00:00,Mangalore,25.36,80.35,0.07,0.01,0
2022-05-22 01:00:00,Mangalore,26.44,84.26,1.19,0.11,0
2022-05-22 02:00:00,Mangalore,27.73,87.61,1.33,0.22,0
2022-05-22 03:00:00,Mangalore,28.41,91.49,2.47,0.26,0
2022-05-22 04:00:00,Mangalore,29.18,95.31,2.39,0.35,1
2022-05-22 05:00:00,Mangalore,29.98,96.7,3.29,0.37,1
2022-05-22 06:00:00,Mangalore,29.34,97.78,3.17,0.39,1
2022-05-22 07:00:00,Mangalore,29.59,96.2,3.18,0.42,1
2022-05-22 08:00:00,Mangalore,29.23,95.75,2.61,0.37,1
2022-05-22 09:00:00,Mangalore,28.16,91.73,2.33,0.29,0
2022-05-22 10:00:00,Mangalore,27.35,88.85,1.88,0.2,0
2022-05-22 11:00:00,Mangalore,26.41,83.79,1.16,0.11,0
2022-05-22 12:00:00,Mangalore,24.44,80.21,0.03,0.01,0
2022-05-22 13:00:00,Mangalore,23.67,74.87,1.04,0.06,0
2022-05-22 14:00:00,Mangalore,22.48,71.5,1.86,0.19,0
2022-05-22 15:00:00,Mangalore,21.01,67.75,2.47,0.28,0
2022-05-22 16:00:00,Mangalore,21.32,64.97,2.73,0.39,0
2022-05-22 17:00:00,Mangalore,19.67,63.63,3.2,0.36,0
2022-05-22 18:00:00,Mangalore,20.58,62.79,3.6,0.41,0
2022-05-22 19:00:00,Mangalore,20.32,64.33,3.27,0.36,0
2022-05-22 20:00:00,Mangalore,20.69,65.1,2.66,0.33,0
2022-05-22 21:00:00,Mangalore,22.06,68.43,2.01,0.31,0
2022-05-22 22:00:00,Mangalore,23.1,70.91,1.65,0.21,0
2022-05-22 23:00:00,Mangalore,24.19,75.8,1.01,0.1,0
2022-05-23 00:00:00,Mangalore,24.33,79.83,0.08,0.01,0
2022-05-23 01:00:00,Mangalore,26.08,83.88,0.86,0.06,0
2022-05-23 02:00:00,Mangalore,27.53,87.94,1.73,0.22,0
2022-05-23 03:00:00,Mangalore,29.02,91.52,2.34,0.29,0
2022-05-23 04:00:00,Mangalore,29.73,95.71,2.74,0.34,1
2022-05-23 05:00:00,Mangalore,29.62,96.94,3.17,0.39,1
2022-05-23 06:00:00,Mangalore,29.85,97.39,3.23,0.41,1
2022-05-23 07:00:00,Mangalore,29.88,96.25,3.53,0.39,1
2022-05-23 08:00:00,Mangalore,29.4,94.82,2.74,0.32,1
2022-05-23 09:00:00,Mangalore,29.77,92.65,2.67,0.3,1
2022-05-23 10:00:00,Mangalore,28.28,88.87,1.95,0.2,0
2022-05-23 11:00:00,Mangalore,25.84,84.65,0.72,0.13,0
2022-05-23 12:00:00,Mangalore,25.33,80.5,0.17,0.03,0
2022-05-23 13:00:00,Mangalore,24.56,75.38,0.96,0.11,0
2022-05-23 14:00:00,Mangalore,23.14,72.02,1.57,0.17,0
2022-05-23 15:00:00,Mangalore,21.53,67.81,2.41,0.26,0
2022-05-23 16:00:00,Mangalore,19.8,65.74,2.9,0.36,0
2022-05-23 17:00:00,Mangalore,20.67,63.36,2.88,0.39,0
2022-05-23 18:00:00,Mangalore,20.4,63.14,3.21,0.43,0
2022-05-23 19:00:00,Mangalore,20.47,64.95,3.37,0.38,0
2022-05-23 20:00:00,Mangalore,20.03,64.62,2.83,0.35,0
2022-05-23 21:00:00,Mangalore,22.34,69.06,2.88,0.28,0
2022-05-23 22:00:00,Mangalore,22.69,71.7,2.05,0.19,0
2022-05-23 23:00:00,Mangalore,23.84,74.73,0.89,0.13,0
2022-05-24 00:00:00,Mangalore,24.68,80.17,0.04,0.01,0
2022-05-24 01:00:00,Mangalore,25.94,83.88,0.94,0.06,0
2022-05-24 02:00:00,Mangalore,27.49,88.47,2.2,0.18,0
2022-05-24 03:00:00,Mangalore,28.6,92.09,2.18,0.29,1
2022-05-24 04:00:00,Mangalore,29.66,94.83,3.3,0.39,1
2022-05-24 05:00:00,Mangalore,29.34,96.38,3.28,0.39,1
2022-05-24 06:00:00,Mangalore,29.68,96.61,2.97,0.42,1
2022-05-24 07:00:00,Mangalore,30.27,96.97,3.18,0.4,1
2022-05-24 08:00:00,Mangalore,29.42,94.21,2.99,0.33,1
2022-05-24 09:00:00,Mangalore,27.78,91.43,2.33,0.27,0
2022-05-24 10:00:00,Mangalore,27.97,89.19,1.7,0.2,0
2022-05-24 11:00:00,Mangalore,25.85,84.68,0.64,0.08,0
2022-05-24 12:00:00,Mangalore,25.02,80.54,0.07,0.02,0
2022-05-24 13:00:00,Mangalore,24.16,75.61,1.14,0.1,0
2022-05-24 14:00:00,Mangalore,22.96,70.97,1.95,0.2,0
2022-05-24 15:00:00,Mangalore,21.64,67.49,2.42,0.28,0
2022-05-24 16:00:00,Mangalore,20.19,65.24,2.71,0.31,0
2022-05-24 17:00:00,Mangalore,20.6,63.56,3.27,0.36,0
2022-05-24 18:00:00,Mangalore,19.9,63.47,3.51,0.4,0
2022-05-24 19:00:00,Mangalore,20.36,64.02,3.32,0.38,0
2022-05-24 20:00:00,Mangalore,20.93,65.74,2.59,0.34,0
